state(s),date,time,dead,inj,yards,miles,F,counties
IA,04191941,1915,0,0,100,10,F2,JACKSON
IA-WI,09031941,1730,0,1,30,5,F2,CLAYTON. IA /GRANT. WI
IA,09071941,1630,0,6,600,30,F2,JASPER /POWESHIEK
IA,10041941,2345,0,0,,,F2,WORTH
IA,10061941,1415,0,1,30,2,F2,BOONE
IA,10061941,2000,0,0,,,F2,MONONA
IA,10061941,2100,0,0,200,17,F2,TAYLOR
IA,10061941,2145,0,0,100,4,F2,MADISON
IA,10061941,2200,0,0,,22,F2,RINGGOLD /UNION
IA,05301942,1700,0,0,,,F2,LYON
IA-MN,05301942,1745,0,0,600,20,F3,DICKINSON. IA /JACKSON. MN
IA,06031942,0300,0,0,50,1,F2,CHEROKEE
IA,06281942,1745,0,0,800,»45,F2,GUTHRIE /DALLAS /BOONE
IA,07051942,1830,0,0,50,7,F2,HANCOCK /WRIGHT
IA,03151943,1610,0,1,200,slO,F2,DALIAS /POLK
IA,03151943,1730,0,0,100,12,F2,DECATUR /LUCAS
IA,03151943,1915,0,7,200,0.5,F2,BUCHANAN
IA,03151943,2100,0,0,,,F2,JACKSON
IA,05051943,1500,0,0,100,6,F2,CASS
IA,05051943,1500,0,1,100,3,F2,POTTAWATTAMIE /CASS
IA,05051943,1530,0,2,,slO,F2,MILLS
IA,05051943,1600,0,0,,s28,F2,STORY /MARSHALL /GRUNDY
IA,05051943,1830,0,0,,,F2,CLAYTON
IA,05051943,1930,0,2,,sl5,F2,MARSHALL
IA,05151943,1730,0,0,400,12,F2,ADAMS /UNION
IA,05151943,1745,0,0,30,15,F2,ADAIR
IA,05151943,1800,0,0,,5,F2,DALLAS
IA,05151943,1820,0,0,,s5,F2,POLK
IA,05151943,1840,0,0,50,3,F2,JOHNSON
IA,05151943,2000,0,0,300,s7,F2,JOHNSON
IA,06111943,1630,0,0,100,9,F2,WINNEBAGO
IA,06141943,2130,0,0,,s25,F2,EMMET /KOSSUTH
IA,07041943,1930,0,0,75,,F2,POCAHONTAS
IA,05181944,1600,0,4,200,9,F2,WOODBURY /CHEROKEE
IA,05181944,1615,0,0,100,,F2,IDA
IA,05181944,1615,0,0,800,18,F3,CRAWFORD /SAC
IA,05181944,1730,0,0,,12,F2,POCAHONTAS
IA,05181944,1900,0,4,,35,F2,GREENE /WEBSTER /HAMILTON
IA,05181944,1900,0,0,200,5,F3,GREENE
IA,05181944,2230,2,12,800,15,F3,POLK /STORY
IA,05181944,2300,0,0,,,F2,MARSHALL
IA,05191944,1630,0,0,200,12,F3,BUENA VISTA /POCAHONTAS
IA,05191944,1930,0,0,400,,F2,POCAHONTAS
IA,05191944,1930,1,9,400,8,F4,WEBSTER
IA,05191944,2000,0,0,,,F2,WEBSTER
IA,05191944,2030,0,0,,,F2,HAMILTON
IA,06041944,1830,0,0,400,5,F2,SHELBY
IA,06111944,1450,0,0,100,2,F3,MILLS
